# Codepoint	GlyphName	Category	SourceFile	SourceIndex
U+E930	sy_mi	syllable	sy_049_mi.svg	index=49
U+E931	sy_min	syllable	sy_050_min.svg	index=50
U+E932	sy_ma	syllable	sy_051_ma.svg	index=51
U+E933	sy_man	syllable	sy_052_man.svg	index=52
U+E934	sy_mo	syllable	sy_053_mo.svg	index=53
U+E935	sy_me	syllable	sy_054_me.svg	index=54
U+E936	sy_mu	syllable	sy_055_mu.svg	index=55
U+E937	sy_mun	syllable	sy_056_mun.svg	index=56
U+E938	sy_myi	syllable	sy_057_myi.svg	index=57
U+E939	sy_myin	syllable	sy_058_myin.svg	index=58
U+E93A	sy_mwa	syllable	sy_059_mwa.svg	index=59
U+E93B	sy_mwan	syllable	sy_060_mwan.svg	index=60
U+E93C	sy_mwo	syllable	sy_061_mwo.svg	index=61
U+E93D	sy_mye	syllable	sy_062_mye.svg	index=62
U+E93E	sy_mwu	syllable	sy_063_mwu.svg	index=63
U+E93F	sy_mwun	syllable	sy_064_mwun.svg	index=64
U+E940	sy_mwi	syllable	sy_065_mwi.svg	index=65
U+E941	sy_mwin	syllable	sy_066_mwin.svg	index=66
U+E942	sy_mya	syllable	sy_067_mya.svg	index=67
U+E943	sy_myan	syllable	sy_068_myan.svg	index=68
U+E944	sy_myo	syllable	sy_069_myo.svg	index=69
U+E945	sy_mwe	syllable	sy_070_mwe.svg	index=70
U+E946	sy_myu	syllable	sy_071_myu.svg	index=71
U+E947	sy_myun	syllable	sy_072_myun.svg	index=72
U+E948	sy_ni	syllable	sy_073_ni.svg	index=73
U+E949	sy_nin	syllable	sy_074_nin.svg	index=74
U+E94A	sy_na	syllable	sy_075_na.svg	index=75
U+E94B	sy_nan	syllable	sy_076_nan.svg	index=76
U+E94C	sy_no	syllable	sy_077_no.svg	index=77
U+E94D	sy_ne	syllable	sy_078_ne.svg	index=78
U+E94E	sy_nu	syllable	sy_079_nu.svg	index=79
U+E94F	sy_nun	syllable	sy_080_nun.svg	index=80
U+E950	sy_nyi	syllable	sy_081_nyi.svg	index=81
U+E951	sy_nyin	syllable	sy_082_nyin.svg	index=82
U+E952	sy_nwa	syllable	sy_083_nwa.svg	index=83
U+E953	sy_nwan	syllable	sy_084_nwan.svg	index=84
U+E954	sy_nwo	syllable	sy_085_nwo.svg	index=85
U+E955	sy_nye	syllable	sy_086_nye.svg	index=86
U+E956	sy_nwu	syllable	sy_087_nwu.svg	index=87
U+E957	sy_nwun	syllable	sy_088_nwun.svg	index=88
U+E958	sy_nwi	syllable	sy_089_nwi.svg	index=89
U+E959	sy_nwin	syllable	sy_090_nwin.svg	index=90
U+E95A	sy_nya	syllable	sy_091_nya.svg	index=91
U+E95B	sy_nyan	syllable	sy_092_nyan.svg	index=92
U+E95C	sy_nyo	syllable	sy_093_nyo.svg	index=93
U+E95D	sy_nwe	syllable	sy_094_nwe.svg	index=94
U+E95E	sy_nyu	syllable	sy_095_nyu.svg	index=95
U+E95F	sy_nyun	syllable	sy_096_nyun.svg	index=96
U+E960	sy_hi	syllable	sy_097_hi.svg	index=97
U+E961	sy_hin	syllable	sy_098_hin.svg	index=98
U+E962	sy_ha	syllable	sy_099_ha.svg	index=99
U+E963	sy_han	syllable	sy_100_han.svg	index=100
U+E964	sy_ho	syllable	sy_101_ho.svg	index=101
U+E965	sy_he	syllable	sy_102_he.svg	index=102
U+E966	sy_hu	syllable	sy_103_hu.svg	index=103
U+E967	sy_hun	syllable	sy_104_hun.svg	index=104
U+E968	sy_hyi	syllable	sy_105_hyi.svg	index=105
U+E969	sy_hyin	syllable	sy_106_hyin.svg	index=106
U+E96A	sy_hwa	syllable	sy_107_hwa.svg	index=107
U+E96B	sy_hwan	syllable	sy_108_hwan.svg	index=108
U+E96C	sy_hwo	syllable	sy_109_hwo.svg	index=109
U+E96D	sy_hye	syllable	sy_110_hye.svg	index=110
U+E96E	sy_hwu	syllable	sy_111_hwu.svg	index=111
U+E96F	sy_hwun	syllable	sy_112_hwun.svg	index=112
U+E970	sy_hwi	syllable	sy_113_hwi.svg	index=113
U+E971	sy_hwin	syllable	sy_114_hwin.svg	index=114
U+E972	sy_hya	syllable	sy_115_hya.svg	index=115
U+E973	sy_hyan	syllable	sy_116_hyan.svg	index=116
U+E974	sy_hyo	syllable	sy_117_hyo.svg	index=117
U+E975	sy_hwe	syllable	sy_118_hwe.svg	index=118
U+E976	sy_hyu	syllable	sy_119_hyu.svg	index=119
U+E977	sy_hyun	syllable	sy_120_hyun.svg	index=120
U+E978	sy_ki	syllable	sy_121_ki.svg	index=121
U+E979	sy_kin	syllable	sy_122_kin.svg	index=122
U+E97A	sy_ka	syllable	sy_123_ka.svg	index=123
U+E97B	sy_kan	syllable	sy_124_kan.svg	index=124
U+E97C	sy_ko	syllable	sy_125_ko.svg	index=125
U+E97D	sy_ke	syllable	sy_126_ke.svg	index=126
U+E97E	sy_ku	syllable	sy_127_ku.svg	index=127
U+E97F	sy_kun	syllable	sy_128_kun.svg	index=128
U+E980	sy_kyi	syllable	sy_129_kyi.svg	index=129
U+E981	sy_kyin	syllable	sy_130_kyin.svg	index=130
U+E982	sy_kwa	syllable	sy_131_kwa.svg	index=131
U+E983	sy_kwan	syllable	sy_132_kwan.svg	index=132
U+E984	sy_kwo	syllable	sy_133_kwo.svg	index=133
U+E985	sy_kye	syllable	sy_134_kye.svg	index=134
U+E986	sy_kwu	syllable	sy_135_kwu.svg	index=135
U+E987	sy_kwun	syllable	sy_136_kwun.svg	index=136
U+E988	sy_kwi	syllable	sy_137_kwi.svg	index=137
U+E989	sy_kwin	syllable	sy_138_kwin.svg	index=138
U+E98A	sy_kya	syllable	sy_139_kya.svg	index=139
U+E98B	sy_kyan	syllable	sy_140_kyan.svg	index=140
U+E98C	sy_kyo	syllable	sy_141_kyo.svg	index=141
U+E98D	sy_kwe	syllable	sy_142_kwe.svg	index=142
U+E98E	sy_kyu	syllable	sy_143_kyu.svg	index=143
U+E98F	sy_kyun	syllable	sy_144_kyun.svg	index=144
U+E990	sy_si	syllable	sy_145_si.svg	index=145
U+E991	sy_sin	syllable	sy_146_sin.svg	index=146
U+E992	sy_sa	syllable	sy_147_sa.svg	index=147
U+E993	sy_san	syllable	sy_148_san.svg	index=148
U+E994	sy_so	syllable	sy_149_so.svg	index=149
U+E995	sy_se	syllable	sy_150_se.svg	index=150
U+E996	sy_su	syllable	sy_151_su.svg	index=151
U+E997	sy_sun	syllable	sy_152_sun.svg	index=152
U+E998	sy_syi	syllable	sy_153_syi.svg	index=153
U+E999	sy_syin	syllable	sy_154_syin.svg	index=154
U+E99A	sy_swa	syllable	sy_155_swa.svg	index=155
U+E99B	sy_swan	syllable	sy_156_swan.svg	index=156
U+E99C	sy_swo	syllable	sy_157_swo.svg	index=157
U+E99D	sy_sye	syllable	sy_158_sye.svg	index=158
U+E99E	sy_swu	syllable	sy_159_swu.svg	index=159
U+E99F	sy_swun	syllable	sy_160_swun.svg	index=160
U+E9A0	sy_swi	syllable	sy_161_swi.svg	index=161
U+E9A1	sy_swin	syllable	sy_162_swin.svg	index=162
U+E9A2	sy_sya	syllable	sy_163_sya.svg	index=163
U+E9A3	sy_syan	syllable	sy_164_syan.svg	index=164
U+E9A4	sy_syo	syllable	sy_165_syo.svg	index=165
U+E9A5	sy_swe	syllable	sy_166_swe.svg	index=166
U+E9A6	sy_syu	syllable	sy_167_syu.svg	index=167
U+E9A7	sy_syun	syllable	sy_168_syun.svg	index=168
U+E9A8	sy_tsi	syllable	sy_169_tsi.svg	index=169
U+E9A9	sy_tsin	syllable	sy_170_tsin.svg	index=170
U+E9AA	sy_tsa	syllable	sy_171_tsa.svg	index=171
U+E9AB	sy_tsan	syllable	sy_172_tsan.svg	index=172
U+E9AC	sy_tso	syllable	sy_173_tso.svg	index=173
U+E9AD	sy_tse	syllable	sy_174_tse.svg	index=174
U+E9AE	sy_tsu	syllable	sy_175_tsu.svg	index=175
U+E9AF	sy_tsun	syllable	sy_176_tsun.svg	index=176
U+E9B0	sy_tsyi	syllable	sy_177_tsyi.svg	index=177
U+E9B1	sy_tsyin	syllable	sy_178_tsyin.svg	index=178
U+E9B2	sy_tswa	syllable	sy_179_tswa.svg	index=179
U+E9B3	sy_tswan	syllable	sy_180_tswan.svg	index=180
U+E9B4	sy_tswo	syllable	sy_181_tswo.svg	index=181
U+E9B5	sy_tsye	syllable	sy_182_tsye.svg	index=182
U+E9B6	sy_tswu	syllable	sy_183_tswu.svg	index=183
U+E9B7	sy_tswun	syllable	sy_184_tswun.svg	index=184
U+E9B8	sy_tswi	syllable	sy_185_tswi.svg	index=185
U+E9B9	sy_tswin	syllable	sy_186_tswin.svg	index=186
U+E9BA	sy_tsya	syllable	sy_187_tsya.svg	index=187
U+E9BB	sy_tsyan	syllable	sy_188_tsyan.svg	index=188
U+E9BC	sy_tsyo	syllable	sy_189_tsyo.svg	index=189
U+E9BD	sy_tswe	syllable	sy_190_tswe.svg	index=190
U+E9BE	sy_tsyu	syllable	sy_191_tsyu.svg	index=191
U+E9BF	sy_tsyun	syllable	sy_192_tsyun.svg	index=192
U+E9C0	sy_li	syllable	sy_193_li.svg	index=193
U+E9C1	sy_lin	syllable	sy_194_lin.svg	index=194
U+E9C2	sy_la	syllable	sy_195_la.svg	index=195
U+E9C3	sy_lan	syllable	sy_196_lan.svg	index=196
U+E9C4	sy_lo	syllable	sy_197_lo.svg	index=197
U+E9C5	sy_le	syllable	sy_198_le.svg	index=198
U+E9C6	sy_lu	syllable	sy_199_lu.svg	index=199
U+E9C7	sy_lun	syllable	sy_200_lun.svg	index=200
U+E9C8	sy_lyi	syllable	sy_201_lyi.svg	index=201
U+E9C9	sy_lyin	syllable	sy_202_lyin.svg	index=202
U+E9CA	sy_lwa	syllable	sy_203_lwa.svg	index=203
U+E9CB	sy_lwan	syllable	sy_204_lwan.svg	index=204
U+E9CC	sy_lwo	syllable	sy_205_lwo.svg	index=205
U+E9CD	sy_lye	syllable	sy_206_lye.svg	index=206
U+E9CE	sy_lwu	syllable	sy_207_lwu.svg	index=207
U+E9CF	sy_lwun	syllable	sy_208_lwun.svg	index=208
U+E9D0	sy_lwi	syllable	sy_209_lwi.svg	index=209
U+E9D1	sy_lwin	syllable	sy_210_lwin.svg	index=210
U+E9D2	sy_lya	syllable	sy_211_lya.svg	index=211
U+E9D3	sy_lyan	syllable	sy_212_lyan.svg	index=212
U+E9D4	sy_lyo	syllable	sy_213_lyo.svg	index=213
U+E9D5	sy_lwe	syllable	sy_214_lwe.svg	index=214
U+E9D6	sy_lyu	syllable	sy_215_lyu.svg	index=215
U+E9D7	sy_lyun	syllable	sy_216_lyun.svg	index=216
U+E9D8	sy_ri	syllable	sy_217_ri.svg	index=217
U+E9D9	sy_rin	syllable	sy_218_rin.svg	index=218
U+E9DA	sy_ra	syllable	sy_219_ra.svg	index=219
U+E9DB	sy_ran	syllable	sy_220_ran.svg	index=220
U+E9DC	sy_ro	syllable	sy_221_ro.svg	index=221
U+E9DD	sy_re	syllable	sy_222_re.svg	index=222
U+E9DE	sy_ru	syllable	sy_223_ru.svg	index=223
U+E9DF	sy_run	syllable	sy_224_run.svg	index=224
U+E9E0	sy_ryi	syllable	sy_225_ryi.svg	index=225
U+E9E1	sy_ryin	syllable	sy_226_ryin.svg	index=226
U+E9E2	sy_rwa	syllable	sy_227_rwa.svg	index=227
U+E9E3	sy_rwan	syllable	sy_228_rwan.svg	index=228
U+E9E4	sy_rwo	syllable	sy_229_rwo.svg	index=229
U+E9E5	sy_rye	syllable	sy_230_rye.svg	index=230
U+E9E6	sy_rwu	syllable	sy_231_rwu.svg	index=231
U+E9E7	sy_rwun	syllable	sy_232_rwun.svg	index=232
U+E9E8	sy_rwi	syllable	sy_233_rwi.svg	index=233
U+E9E9	sy_rwin	syllable	sy_234_rwin.svg	index=234
U+E9EA	sy_rya	syllable	sy_235_rya.svg	index=235
U+E9EB	sy_ryan	syllable	sy_236_ryan.svg	index=236
U+E9EC	sy_ryo	syllable	sy_237_ryo.svg	index=237
U+E9ED	sy_rwe	syllable	sy_238_rwe.svg	index=238
U+E9EE	sy_ryu	syllable	sy_239_ryu.svg	index=239
U+E9EF	sy_ryun	syllable	sy_240_ryun.svg	index=240
