PPSA,PSA_gloss,PSA,Zahwãhh,Zahwãhh Gloss,Transliteration,Zahwãhh glyphs
kun,TOWARD,kũ,guv,Towards,ku.m,
ʔrap,AWAY/FROM,ʔe.ra.p,eɾap,AWAY-FROM,e.ra.p,
kent,BY-HOLDING/CARRIED,kã.t,gãt,By-holding,kã.t,
kept,BY-PROPELLING/THROWN,kə.pə.t,gepet,By-thrown,ke.pe.t,
huhu,RIVER,hu.wu,hwu,Lake/good water,hu.wu,
sohu,POND/CONTAINING-WATER,sou,zwu,Fish-pond,swu,
tsanpak,BOUNDARY/BANK,tsã.pʌ.k,dãpehh,Border/River,tsa.pe.k,
sesotsanpak,FENCE/ENCLOSURE,sə.tsã.pʌ.k,zetãpehh,Fence/wall,se.tsã.pa.k,
imanastro,HILL,ɪ.mə.ste.r,iveter,Hill/slope,i.me.tse.r,
astrosohu,MEADOW/OPEN-GROUND,sə.tsou,zetwu,Forum/Market/Public building,se.tswu,
sohuram,MUD,sa.ra.m,zaɾã,Farm (noun)/ Exploit (verb),sa.rã,
astrostro,STONE,sto.ste.r,doter,Stone,tso.tse.r,
sosesose,HOUSE,sə.s,zuz,Building/town/family,su.s,
soseronst,Fire,sə.st,zet,HEARTH,se.t,
pumahas,FISH-HOOK,pʌ.mʌ.s,beves,Fish-hook,pe.me.s,
tsanurokunk,TRAP/SNARE,tsã.rʌ.kã.k,dãnehãhh,Ambush/Hunt/Contain,tsã.ne.hã.k,
rokunkutun,BUTCHER,rʌ.kã.kʌ.tã,lehãher,BUTCHER,le.hã.he.r,
musupon,FEED,sʌ.pã,zepã,Feed (verb),se.pã,
musisik,TRADE,sɪ.sɪ.k,zihh,Market,si.k,
astrostrokimi,CRUSH,sto.ste.rɪ.ki.m,doteɾihib,Crush,tso.tse.ri.hi.m,
sokemiman,NURSE-MOTHER,sə.ke.mə.mã,zehibevã,NURSE-MOTHER,se.hi.me.mã,
sikimani,SIBLING,sɪ.kə.mã,zihevã,Sibling/Comrade,si.he.mã,
tesikimani,YOUNG-SIBLING,tsɪ.kə.mã,tʃihevã,Younger sibling/Brat/underling,tsi.he.mã,
sosikimani,ELDER-SIBLING,si.kə.mã,zihevã,Older sibling,si.he.mã,
musiman,OLDER-SIBLING,sʌ.mã,zevã,Mentor/Sempai/Older sibling,ze.mã,
kemihuhu,GUEST,ke.mwu,gibwu,Guest/Mr/Ms,ki.mwu,
ronstuhu,BOIL,sə.stwu,zetwu,SOUP/Make Soup,se.tswu,
ronstonst,ROAST/BAKE,sə.tsɪ.s,zetʃis,Roast/bake/cook,se.tsi.s,
ronstastrosohuhu,SALT,sə.tsɪ.twu,zetʃiɾwu,Salt/Salted meat/wealth,se.tsi.twu,
ronstastroronst,SMOKE,sə.tsɪ.sə.st,zetʃiset,SMOKE/BLACK/GREY/BLUE,se.tsi.se.ts,
ro,BLOOD,ro,lo,Blood,lo,
tsotan,BREATH,tsɪ.sã,tʃisã,Breath/Life,tsi.sã,
nen,HAND,nĩ,nĩ,Hand,nĩ,
amant,FOOT,ʌ.mã.ni.t,evãt,FOOT,e.mã.t,
nepant,HUNGER,nə.pã.ni.t,nepãt,Need,ne.pã.t,
sun,SLEEP,sũ,zuv,Sleep,su.m,
miwhu,RAIN,mi.wu,miɾu,RAIN,mi.tu,
hanst,DROUGHT,sə.st,zet,Disaster/badweather,se.ts,
etna,WIND,ã.t,ãt,Spirit/Force,ã.t,
etnahu,COLD,tã.nu,dã,Cold,tã,
atup,DAWN,tu.p,dup,Dawn/Tomorrow,tu.p,
hetnos,NIGHT,tə.s,des,Night,te.s,
-, NAME DAY, -, dĩɾup, TIME, tĩ.ru.p
tsene,NAME/WORD,tsĩ,dĩ,Name/WORD,tsĩ,
tsenemank,OATH,tsã.ne.mã.k,dãɾãhh,Oath,tsã.te.k,
tsanro,TABOO,tsã.r,dãr,Wrong,tsã.r,
-,-,-,dãɾi,NEG prefix,tsan.r,
sokemimanpai,ANCESTOR,sʌ.kɪ.mɪ.mã.p,zehivãp,Hero,se.hi.mã.p,
-,5 king home,nen.sə.tsã.u.tun,nĩtwuɾuv,City,nĩ.twu.tu.m,
-,HAND-FENCE,nĩ.sə.tsã.pʌ.k,nĩsetãpehh,Gate,nĩ.se.tã.pe.k,
-,Handclaw stake,pum.pa.k,bũɾipahh,Handclaw stake,pũ.ta.k,
lin,Three,lin,lĩ,Three,lin,
wa,Two,wa,wa,Two,wa,
semank,promised wood,semãk,zibãhh,Shrine,si.man.k,
kenthetnosʔromtsan,carried night grease rope,kã.t.te.s.ʔe.rom.tsan,gãneseɾãɾitã,Torch/Lamp,kã.ne.se.rã.ri.tsã,
-,Ambusher,irrga,gaɾihh,Commander, ka.ti.k,, a non PSA word that gets re-analized and mangaled a bit
astrostrohuhu, river stone/gem, stosterwu, doteɾu, child, sto.ste.wu,, originally means "treasure" becomes 'child'
-, not dawn towards, tsã.r.tup kan, dãɾidupagã, Western, tsan.ri.tu.pa.kan, Not found in other PSA languages
-, -, -, dazet, Fire, ta.sa.t, Not found in other PSA languages
-, -, -, behh, Body/Flesh, pe.k,
astrostrohuhuhu, gem water, -, heɾateɾeywu, ice, he.ra.te.rey.wu,
-, Terror Bird, ʌlɪsə, eɾise, beast, e.ri.se., probably from a pre-wind-tribe language of the highlands.
